 2 - 40;  16 - 28;  13 - 29;  16 - 27;  12 - 30;  0 - 42;  4 - 38;  1 - 41;  10 - 32;  1 - 47;  6 - 45;  2 - 40;  3 - 40;  1 - 45;  1 - 41;  11 - 31;  22 - 25;  11 - 37;  0 - 44;  4 - 38;  4 - 38;  2 - 47;  2 - 48;  5 - 39;  4 - 38;  12 - 34;  11 - 39;  4 - 38;  3 - 39;  12 - 36; 
 1 - 41;  0 - 47;  2 - 40;  0 - 42;  2 - 41;  2 - 46;  10 - 40;  12 - 30;  3 - 39;  0 - 46;  3 - 48;  12 - 30;  10 - 33;  2 - 43;  0 - 45;  2 - 42;  14 - 35;  1 - 41;  2 - 40;  20 - 22;  11 - 35;  0 - 44;  21 - 30;  12 - 39;  11 - 34;  3 - 41;  0 - 42;  10 - 32;  22 - 23;  12 - 32; 
 0 - 50;  21 - 28;  6 - 39;  0 - 42;  1 - 41;  1 - 50;  4 - 38;  10 - 36;  4 - 38;  11 - 32;  11 - 37;  0 - 45;  3 - 42;  1 - 48;  4 - 46;  5 - 39;  12 - 30;  21 - 23;  2 - 46;  3 - 43;  11 - 35;  0 - 42;  4 - 46;  2 - 47;  13 - 34;  21 - 21;  11 - 36;  11 - 40;  3 - 42;  1 - 41; 
 5 - 45;  11 - 31;  10 - 32;  22 - 26;  1 - 41;  11 - 39;  0 - 45;  1 - 41;  4 - 47;  0 - 42;  3 - 39;  2 - 40;  10 - 32;  20 - 24;  0 - 42;  13 - 36;  0 - 42;  6 - 38;  2 - 45;  13 - 35;  1 - 41;  2 - 45;  11 - 31;  1 - 41;  1 - 46;  1 - 44;  3 - 44;  25 - 22;  1 - 47;  15 - 29; 
 0 - 42;  21 - 25;  0 - 50;  2 - 41;  3 - 46;  13 - 29;  11 - 31;  10 - 32;  14 - 32;  1 - 49;  0 - 48;  10 - 32;  1 - 41;  16 - 29;  14 - 36;  4 - 41;  11 - 31;  1 - 49;  12 - 39;  2 - 40;  10 - 41;  3 - 39;  3 - 39;  12 - 39;  0 - 48;  2 - 41;  0 - 42;  14 - 32;  2 - 47;  2 - 47; 
 23 - 28;  1 - 41;  1 - 44;  11 - 34;  4 - 42;  3 - 39;  0 - 49;  1 - 48;  2 - 42;  10 - 32;  21 - 21;  13 - 37;  14 - 36;  4 - 46;  4 - 38;  13 - 30;  1 - 48;  0 - 46;  2 - 43;  2 - 40;  1 - 41;  14 - 28;  21 - 26;  2 - 41;  0 - 44;  1 - 41;  0 - 51;  0 - 44;  0 - 50;  10 - 32; 
 12 - 33;  12 - 31;  14 - 35;  3 - 40;  1 - 42;  11 - 39;  2 - 41;  3 - 46;  3 - 39;  14 - 28;  21 - 22;  4 - 42;  0 - 51;  4 - 38;  2 - 40;  11 - 31;  2 - 40;  0 - 48;  1 - 44;  6 - 36;  1 - 50;  0 - 47;  12 - 32;  1 - 49;  1 - 41;  17 - 33;  1 - 41;  4 - 38;  13 - 29;  2 - 42; 
 22 - 26;  3 - 48;  2 - 49;  4 - 43;  1 - 49;  11 - 31;  13 - 33;  0 - 42;  0 - 49;  3 - 39;  1 - 41;  12 - 30;  30 - 17;  2 - 40;  0 - 48;  0 - 45;  13 - 31;  21 - 21;  3 - 39;  1 - 41;  1 - 41;  2 - 41;  5 - 37;  2 - 41;  5 - 39;  4 - 47;  13 - 29;  0 - 42;  1 - 41;  13 - 32; 
 0 - 49;  0 - 50;  34 - 17;  11 - 35;  3 - 42;  1 - 49;  0 - 45;  3 - 44;  14 - 32;  4 - 38;  12 - 30;  2 - 40;  5 - 37;  2 - 40;  12 - 38;  2 - 40;  0 - 45;  1 - 42;  3 - 45;  0 - 47;  13 - 35;  3 - 44;  2 - 45;  2 - 48;  2 - 44;  0 - 42;  1 - 45;  13 - 29;  1 - 41;  1 - 41; 
 5 - 42;  2 - 42;  4 - 42;  2 - 47;  11 - 34;  11 - 31;  1 - 41;  12 - 30;  4 - 42;  12 - 30;  12 - 35;  1 - 50;  1 - 41;  1 - 41;  1 - 41;  1 - 41;  1 - 41;  1 - 41;  1 - 50;  10 - 39;  10 - 35;  1 - 42;  12 - 30;  10 - 39;  4 - 38;  1 - 50;  11 - 38;  5 - 37;  5 - 37;  21 - 26; 
